"982488838609096704","180407 142247","“docker run -it --rm -p 8888:8888 jupyter/base-notebook ” / “docker-stacks/base-notebook at master · jupyter/docke…” http://htn.to/4x8Xgf"
"982488689077977088","180407 142211","“JupyterのDockerイメージまとめ - Qiita” http://htn.to/214JMvk"
"982481390502490113","180407 135311","John Mayer Performs 'Moving On and Getting Over'! https://youtu.be/xwYpmFSyKS8 via @YouTube"
"982481002797776901","180407 135139","websocketから向き先変える方法はあるくさい“If you want to do the redirection within the Python script, set sys.stdout to an file obj… http://htn.to/hvngjrMFsS"
"982480493407907840","180407 134937","学習時に迂闊にtqdm使うとwebsocketがタイムアウトしてしまうのなんとかならんかなー"
"982480229334577154","180407 134834","John Mayer Performs 'Still Feel Like Your Man' https://youtu.be/WNzaOl1eAkA via @YouTube"
"982474501186207744","180407 132549","ジミヘンのelectric ladylandたまに聴きたくなりますね"
"982460324199645184","180407 122929","Electric Ladyland by Jimi Hendrix https://open.spotify.com/album/5z090LQztiqh13wYspQvKQ #NowPlaying"
"982294704451502081","180407 013122","encoder-decoderはロジックは理解できるんだけど数値を追うところまで理解進めようとすると複雑すぎて辛いな。ユニットテストが欲しくなる。"
"982265201792663563","180406 233408","今日中にencoder-decoderモデルを理解して明日でMFニューラルネットを理解する"
"982263538268819457","180406 232731","@dopingoo 依存というか、それなしで仕事ができない状態がやばいと思い..."
"982262664633057280","180406 232403","“じゃあもう怖いから、何も関わらない方がいいとなってしまう。でもそれじゃあ、苦しんでいる当事者に対する偏見は消えなくて、ますます当事者は苦しみますよね？” / “LGBTが気持ち悪い人の本音　「ポリコレ棒で葬られるの怖い」 - …” http://htn.to/bmE9mr"
"982249865450106881","180406 223311","糖分とカフェイン抑えてから結構つらい"
"982230927328722944","180406 211756","Pastafarians Unite: Pasta Is The New “It” Health Item https://www.good.is/articles/pasta-healthy-diet"
"982133106235719680","180406 144914","エンジニアは学ぶべきことを過大に見積もる傾向あるし、ビズデブは学ぶべきことを過小に見積もる傾向がありますよね。"
"981907671627345922","180405 235326","ああずっと勘違いしてたlambdaを必ずしも使う必要はないのか Python3におけるmap/filterの使い方 - どこかに向かうらしい話 http://hiroto1979.hatenablog.jp/entry/2016/02/24/020534"
"981720437850718208","180405 112926","両方やってもええんやで"
"981719493478047745","180405 112541","わろた"
"981570101987106817","180405 013203","機械学習、ある程度モデルを理解したら問われるものって後はもうほぼnumpy力だけじゃね。モデルを知ってるだけだと絶対10年後に仕事ない予感"
"981180554975444992","180403 234408","https://github.com/nicolas-ivanov/tf_seq2seq_chatbot/issues/15"
"981180284203749377","180403 234303","https://www.lincolnlaser.com/knowledge-base.html/2016/08/02/sos-eos-detector-instruction-manual/"
"981170135049281538","180403 230244","自分のロールは完全にこれっすね データ(基盤)エンジニアというブルーオーシャンな職種 - データ前処理土方の日記 http://uma66.hateblo.jp/entry/2018/02/04/172939"
"981066810505048064","180403 161209","“Debian -- jessie の libreadline-dev パッケージに関する詳細” http://htn.to/H4mXZB"
"980821091630239748","180402 235545","業務でpytorchメンテせざるを得ないから学習してるけど、自分のロールと研究テーマ的に深層学習は軸に置くべきではないな。薄々気がついてたけど。"
"980816584502489088","180402 233751","シグモイド関数との関係

 https://mathtrain.jp/softmax"
"980814214926184450","180402 232826","多分類を2値分類に近似するとシグモイド関数になるの直感的 ソフトマックス関数 - 人工知能・ロボティクス・and so on 工学系ブログ http://airoboticsandsoon.hatenablog.jp/entry/2017/10/30/221319"
"980763819814174721","180402 200811","会社に残って作業するより家に帰って専門深めた方がアウトプット出ますしね。"
"980763434617774082","180402 200639","今の会社もみんな定時で帰りますね。 若者の長時間労働から質重視へとスタートアップの働き方が変わってきた理由 | Findy Engineer Lab https://findy-code.io/engineer-lab/startup-hatarakikata"
"980379287671914496","180401 184011","“string.printable¶(原文) 印刷可能な ASCII 文字で構成される文字列です。 digits, ascii_letters, punctuation および whitespace を組み合わせたものです。” http://htn.to/n6pkHSHnJeb"
"980338410475765760","180401 155745","“# unpack your output if required” / “How to use pad_packed_sequence in pytorch · GitHub” http://htn.to/fRWZ8a"
"980337252701126656","180401 155309","“How the PackedSequence object worksKeras has a nice masking feature to deal with variable lengths sequences. How d… http://htn.to/mFCV2PP"
"980330826108887040","180401 152737","LSTMで線形層に出力を入力してるケースと内部状態を入力してるケースがあるんだけど、どっちを信じればいいんだ。"
"980317439954075648","180401 143425","John Mayer Crossroad (Live in Japan) https://youtu.be/-BJCS-JlJYM via @YouTube"
"980305442025848832","180401 134645","“Big data is like teenage sex: everyone talks about it, nobody really knows how to do it, everyone thinks everyone … http://htn.to/B1G1h5"
"980304276487487488","180401 134207","copy and paste with stackoverflow! / “AIブームに完全に出遅れたエグゼクティブの方々のための本を書きました - 六本木で働くデータサイエンティストのブログ” http://htn.to/avJXng"
"980303047652884481","180401 133714","これ便利 / “Printing — SymPy 1.1.1 documentation” http://htn.to/gPDCjx"
"980098076101636098","180401 000245","もし開発エンジニアが設計に携われない環境であれば完全に詰みゲーですね、転職してくださいｗ"
